transaction_id,transaction_date,customer_id,product_id,store_id,quantity,unit_price,discount_pct,total_value,payment_method,channel
TXN0000001,2022-11-04,CUST01017,PROD0038,,2,413.87,0.0,827.74,Online,Online
TXN0000002,2023-10-18,CUST00953,PROD0418,STR046,2,45.5,0.0,91.0,Voucher,In-Store
TXN0000003,2023-02-22,CUST01316,PROD0458,STR003,1,41.96,0.0,41.96,Card,In-Store
TXN0000004,2023-02-15,CUST94630,PROD0171,STR018,1,2.86,0.08,2.63,Card,In-Store
TXN0000005,2023-03-16,,PROD0163,STR018,1,19.5,0.0,19.5,Card,In-Store
TXN0000006,2022-03-06,CUST00520,PROD0241,STR005,4,28.09,0.0,112.36,Online,In-Store
TXN0000007,2023-07-06,,PROD0294,STR047,5,70.01,0.0,350.05,Online,In-Store
TXN0000008,2022-05-29,CUST00429,PROD0050,STR034,3,380.84,0.0,1142.52,Card,In-Store
TXN0000009,2023-09-30,CUST01020,PROD0095,STR035,4,38.08,0.0,152.32,Online,In-Store
TXN0000010,2023-02-10,CUST01280,PROD0357,STR033,5,55.66,0.0,278.3,Card,In-Store
TXN0000011,2022-12-09,CUST00740,PROD0161,STR047,1,100.0,0.22,78.0,Card,In-Store
TXN0000012,2023-01-05,CUST01944,PROD0127,,4,27.07,0.22,84.46,Card,Online
TXN0000013,2022-08-21,CUST01288,PROD0427,STR026,5,76.3,0.0,381.5,Voucher,In-Store
TXN0000014,2023-10-26,CUST01553,PROD0065,STR024,1,116.2,0.0,116.2,Card,In-Store
TXN0000015,2022-01-26,CUST01025,PROD0305,,5,12.9,0.12,56.76,Card,Online
TXN0000016,2023-01-20,CUST01767,PROD0350,STR036,3,158.88,0.0,476.64,Card,In-Store
TXN0000017,2022-12-01,CUST01492,PROD0135,STR020,-1,105.34,0.0,-105.34,Card,In-Store
TXN0000018,2022-12-15,CUST00905,PROD0015,STR050,5,1260.9,0.18,5169.69,Online,In-Store
TXN0000019,2022-01-30,CUST01562,PROD0218,STR017,2,23.55,0.0,47.1,Voucher,In-Store
TXN0000020,2022-07-08,CUST01369,PROD0395,STR007,4,93.97,0.0,375.88,Card,In-Store
TXN0000021,2022-08-23,CUST00765,PROD0474,STR028,-1,29.15,0.09,-26.53,Cash,In-Store
TXN0000022,2023-04-08,CUST01295,PROD0220,STR026,4,8.87,0.0,35.48,Card,In-Store
TXN0000023,2022-01-29,CUST01029,PROD0054,STR007,1,1299.29,0.0,1299.29,Online,In-Store
TXN0000024,2023-10-17,,PROD0199,STR035,-1,5.06,0.0,-5.06,Online,In-Store
TXN0000025,2023-02-10,CUST00709,PROD0247,,4,12.52,0.0,50.08,Card,Online
TXN0000026,2023-03-31,CUST01674,PROD0477,STR009,1,41.15,0.0,41.15,Cash,In-Store
TXN0000027,2023-10-16,,PROD0416,STR011,4,72.77,0.0,291.08,Cash,In-Store
TXN0000028,2023-05-06,CUST00197,PROD0176,STR047,2,22.47,0.0,44.94,Card,In-Store
TXN0000029,2023-10-13,CUST00506,PROD0087,STR012,3,89.87,0.0,269.61,Voucher,In-Store
TXN0000030,2022-08-27,CUST01100,PROD0258,STR049,3,77.99,0.22,182.5,Card,In-Store
TXN0000031,2022-09-18,CUST00807,PROD0157,STR048,3,49.6,0.0,148.8,Card,In-Store
